Implementations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Websites,Topics,Examples,Developers,Organisations,Country,Language,Platform or Component,SMS,,,Internet,,,,In Person,Radio,"Visualization (Decentralized, Centralized, Both)",User contributed Content,Open Source (Y/N),Self-Hosting (Y/N),Language (Programming),Moderation for Submissions (Y/N),"SSL (forced, optional, not available, unknown)",License,Requires Personal Identifying Information to Use,Archive,Useful Links for Research,Other Details
,,,,,,,,Incoming,Outgoing,Management,Access,Social Sharing,Social Sharing Comments,API,,,,,,,,,,,,,,
www.mysociety.org,Democratic Accountability and Transparency,http://www.mysociety.org/projects/,mySociety,mySociety,"UK, World",English,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,,API for different projects built by MySociety,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Y (Also offers web development for a fee),Y (Most projects can be implemented and hosted elsewhere),"Builds projects in Python, PHP, Ruby-on-Rails, Perl and Node.js, and using the Django and Catalyst frameworks. different database technologies: PostgresQL, mySQL and MongoDB on production sites.",Depends on the implementation.,Not available (certificate expired),Depends on the implementation.,Depends on the implementation.,"Generally speaking most content is archived. ( @fixmystreet : ""part of our drive towards transparency in most things."")",,
WhatDoTheyKnow,Freedom of Information Requests,http://asktheeu.org/ http://queremossaber.org.br/ http://www.pravodaznam.ba/ Informatazyrtare.org ,mySociety,mySociety,UK,English,Alaveteli,N,N,,Y,Y,"Can follow users, message them and subscribe to RSS feed of their updates. All FOI requests and annotations are available to public. ",Y,N,N,"Decentralized. All messages posted through site are accessible by authority, request and subdivided into scale of gov. body and topic",Text,Y (powered by Alaveteli),N (can implement site for new locations),"Ruby on Rails 3.x, postgresql as the backend database https://github.com/mysociety/alaveteli/wiki/Developers-guide Particular theme designed and built by mySociety",Y (https://www.whatdotheyknow.com/help/privacy#takedown),Optional,GNU Affero General Public License,Y (Email and name that appears publicly. Can use pseudonym but not suggested.)," Keeps public permanent archive of all requests except in very specific instances ""WhatDoTheyKnow is a permanent, public archive of Freedom of Information requests. Even though you may not find the response to a request useful any more, it may be of interest to others. For this reason, we will not delete requests""",,
TheyWorkForYou,UK Parliament Monitoring,http://openaustralia.org/ http://www.kildarestreet.com/ http://parlamany.org/ http://mejlis.tn/ ,mySociety,mySociety,UK,English,Pombola,N,N,,Y,N ,Can sign up for email updates of MP's or write to them personally. ,Y,N,N,Details on MP actions and statements.,Text,Y (https://github.com/mysociety/theyworkforyou),N (Can implement Pombola platform to build and host version for other localities),"Python, PHP","Y (If message is copy-pasted and is exactly the same as another post, it will not be submitted)",Unknown (Certificate Invalid for mapumental api http://cl.ly/image/3g2f2e0d282y),Â BSD style license (https://github.com/mysociety/theyworkforyou/blob/master/LICENSE.md),"Y (name, email, address and postal code)",All messages remain public unless deemed inappropriate after being reported by user.,,
FixMyStreet,"Reports problems in UK city streets (potholes, broken street lights)",http://www.fixmystreet.com/report/406723 http://www.fiksgatami.no/,mySociety,mySociety,UK,English,FixMyStreet Org,N,N,,Y,N ,Can sign up for email alerts for updates on problems but no interuser interaction ,N,N,N,Decentralized. Reports visualized by Council region. (http://www.fixmystreet.com/reports),"Text, Photo and Category of the problem",Y (https://github.com/mysociety/fixmystreet),N,Perl and PostgreSQL,Y (From site: We reserve the right to edit or remove any problems or updates which we consider to be inappropriate upon being informed by a user of the site.),Not available,GNU Affero General Public License,"Sign in via email, name is optional (can post anon) or make a FixmyStreet account. Email addresses are sent to councils implicated in the locations reported.",All reports archived.,http://www.fixmystreet.com/faq#practical https://github.com/mysociety/fixmystreet/wiki,
www.fixmybarangay.com,"Reports problems in Barangay city streets (potholes, broken street lights)",http://www.fixmybarangay.com/around?latitude=10.288;longitude=123.870,"mySociety, World Bank","mySociety, World Bank",Phillipines,English,FixMyStreet Org,Y,N,,N (only for staff during the pilot phase),N,,N,Y ,N,Decentralized. Reports visualized by region.,Text,Y (https://github.com/mysociety/fixmystreet),N (can implement site for new locations),Perl,Y (From site:Problems sent by SMS are initially handled by the barangay staff â€“ they'll confirm the problem and report it to the relevant department automatically.),Not available,GNU Affero General Public License,"For most users, reports are submitted in person or by SMS. No online login needed.",,code.fixmystreet.com,
FixMyTransport,Reports problems for various methods of UK transportation,http://www.fixmytransport.com/problems/1635,mySociety,mySociety,UK,English,"No Platform (From site: ""we are not currently recommending FixMyTransport as a project for international re-use. This is due to its complex datasets and the fact that it’s founded so deeply in the UK transport infrastructure"")",N,,,Y,Y,"Reports can be shared with friends, followers and fellow passengers. ",Awaiting twitter response,N,N,Decentralized. All reported transit problems accessible by region (Council ),Text and Category,Y (https://github.com/mysociety/fixmytransport),N (can implement site for new locations),"Ruby, Postgres and PostGIS",Y (From site: We reserve the right to edit or remove any problems or updates which we consider to be inappropriate upon being informed by a user of the site.),Not available,GNU Affero General Public License,Location authority receives email address but names are not visible to the public for each report,All reports archived.,,
WriteToThem,"Writing to politicians, national or local",https://www.writetothem.com/write?who=11666&pc=B2+4QA,mySociety,mySociety,UK,English,WriteIt (http://writeit.ciudadanointeligente.org/en/),N,,,Y,N,,N,N,N,No visualization. Service allows users to send messages to local MP's,Text,Y (some licensed data involving postal codes and wards will be left out of the public domain),N (can implement site for new locations),PHP,"Y (If message is copy-pasted and is exactly the same as another letter, it will not be submitted)",Optional,GNU Affero General Public License,"Y (Requires name, address and email)",No letters are publicized on the site itself.,https://www.writetothem.com/about-qa,
HearFromYourMP,Get emails from your local MP about local issues,http://www.hearfromyourmp.com/view/message/1668,mySociety,mySociety,UK,English,Unknown,N,,,Y,N,Can sign up for email alerts for updates to MP but no interuser interaction ,N,N,N,Decentralized. Each MP that has submitted an email to interested constitutents will have these emails public where users can respond.,Text,Y (https://github.com/mysociety/hearfromyourmp),N (can implement site for new locations),PHP,Y (http://www.hearfromyourmp.com/terms),Not available,GNU Affero General Public License,"Y (Requires name, address and email)","If the user agrees to sign up to hear from their MP, they can respond to the emails on that forum. It is only accessible to reading and writing if the user has opted to follow that MP.",,
PetitionYourCouncil,To aggregate council petitions to be used more effectively,http://www.petitionyourcouncil.com/council/glasgow-city-council/,mySociety,mySociety,UK,English,Unknown,N,,,Y,N,,N,N,N,Decentralized. Maps are broken into councils and postcodes with a list of linked petition.,None,Y (https://github.com/mysociety/petitionyourcouncil),N (can implement site for new locations),Django,N,Not available,GNU Affero General Public License,N (Redirected to local petitions that may require more personal information.),None,,
